iteration,start_date,end_date,final_cash,mdd
1,2021-12-23,2022-12-23,1000000.0,0.0
2,2020-01-16,2021-01-15,1014221.1009599357,-1.1535031416844816
3,2021-04-12,2022-04-12,1000005.8030004501,-2.230216936485541
4,2022-09-28,2023-09-28,1000000.0,0.0
5,2020-11-03,2021-11-03,1000007.0897502899,-2.2302141307752996
6,2021-05-04,2022-05-04,1000004.1879997253,-2.2302204579446374
7,2022-05-20,2023-05-20,1000000.0,0.0
8,2022-07-05,2023-07-05,1000000.0,0.0
9,2022-03-05,2023-03-05,1000000.0,0.0
10,2020-08-16,2021-08-16,1000005.73650074,-2.2302170814858813
11,2022-08-24,2023-08-24,1000000.0,0.0
12,2023-06-30,2024-06-29,1000000.0,0.0
13,2022-03-20,2023-03-20,1000000.0,0.0
14,2020-11-04,2021-11-04,1000007.0897502899,-2.2302141307752996
15,2020-12-21,2021-12-21,1000007.3405008316,-2.2302135840238773
16,2022-06-12,2023-06-12,1000000.0,0.0
17,2021-01-23,2022-01-23,1000007.0415000916,-2.2302142359829378
18,2021-03-08,2022-03-08,1000006.5727500916,-2.2302152580741845
19,2022-01-18,2023-01-18,1000000.0,0.0
20,2021-05-25,2022-05-25,1000004.1879997253,-2.2302204579446374
21,2020-11-30,2021-11-30,1000007.0897502899,-2.2302141307752996
22,2023-11-11,2024-11-10,1000000.0,0.0
23,2021-01-07,2022-01-07,1000007.0415000916,-2.2302142359829378
24,2023-01-01,2024-01-01,1000000.0,0.0
25,2020-01-29,2021-01-28,1014221.1009599357,-1.1535031416844816
26,2023-04-03,2024-04-02,1000000.0,0.0
27,2021-07-16,2022-07-16,1000000.0,0.0
28,2023-09-05,2024-09-04,1000000.0,0.0
29,2020-12-26,2021-12-26,1000007.3405008316,-2.2302135840238773
30,2023-03-01,2024-02-29,1000000.0,0.0
31,2020-09-18,2021-09-18,1000006.610250473,-2.2302151763060185
32,2021-03-24,2022-03-24,1000006.5727500916,-2.2302152580741845
33,2021-10-05,2022-10-05,1000000.0,0.0
34,2020-07-20,2021-07-20,1022820.4245856979,-2.230209114638256
35,2021-09-21,2022-09-21,1000000.0,0.0
36,2020-11-30,2021-11-30,1000007.0897502899,-2.2302141307752996
37,2021-02-25,2022-02-25,1000007.013999939,-2.2302142959459315
38,2020-12-11,2021-12-11,1000007.3405008316,-2.2302135840238773
39,2023-02-15,2024-02-15,1000000.0,0.0
40,2023-08-05,2024-08-04,1000000.0,0.0
41,2021-11-27,2022-11-27,1000000.0,0.0
42,2021-09-15,2022-09-15,1000000.0,0.0
43,2020-07-06,2021-07-06,1022820.4245856979,-2.230209114638256
44,2020-12-15,2021-12-15,1000007.3405008316,-2.2302135840238773
45,2022-02-20,2023-02-20,1000000.0,0.0
46,2020-03-01,2021-03-01,1014788.006391466,-1.1535030406928803
47,2020-05-14,2021-05-14,1016560.2928586276,-0.38625548862191994
48,2022-02-10,2023-02-10,1000000.0,0.0
49,2021-09-17,2022-09-17,1000000.0,0.0
50,2021-01-24,2022-01-24,1000007.0415000916,-2.2302142359829378
51,2021-01-15,2022-01-15,1000007.0415000916,-2.2302142359829378
52,2022-08-30,2023-08-30,1000000.0,0.0
53,2022-03-20,2023-03-20,1000000.0,0.0
54,2020-12-21,2021-12-21,1000007.3405008316,-2.2302135840238773
55,2020-10-31,2021-10-31,1000007.0897502899,-2.2302141307752996
56,2021-11-20,2022-11-20,1000000.0,0.0
57,2020-03-13,2021-03-13,1014767.9920988083,-1.1535030406928803
58,2023-06-29,2024-06-28,1000000.0,0.0
59,2020-06-21,2021-06-21,1017994.8365207892,-0.38625580870050036
60,2022-11-29,2023-11-29,1000000.0,0.0
61,2020-04-22,2021-04-22,1015562.627139891,-1.153505931077604
62,2020-07-24,2021-07-24,1022820.4245856979,-2.230209114638256
63,2023-06-30,2024-06-29,1000000.0,0.0
64,2020-09-23,2021-09-23,1000006.610250473,-2.2302151763060185
65,2021-01-13,2022-01-13,1000007.0415000916,-2.2302142359829378
66,2022-12-03,2023-12-03,1000000.0,0.0
67,2023-08-29,2024-08-28,1000000.0,0.0
68,2023-09-13,2024-09-12,1000000.0,0.0
69,2023-07-23,2024-07-22,1000000.0,0.0
70,2022-05-16,2023-05-16,1000000.0,0.0
71,2022-06-21,2023-06-21,1000000.0,0.0
72,2022-08-09,2023-08-09,1000000.0,0.0
73,2020-04-08,2021-04-08,1015562.627139891,-1.153505931077604
74,2020-11-18,2021-11-18,1000007.0897502899,-2.2302141307752996
75,2022-08-11,2023-08-11,1000000.0,0.0
76,2022-07-17,2023-07-17,1000000.0,0.0
77,2022-05-06,2023-05-06,1000000.0,0.0
78,2020-11-03,2021-11-03,1000007.0897502899,-2.2302141307752996
79,2021-04-16,2022-04-16,1000005.8030004501,-2.230216936485541
80,2022-01-18,2023-01-18,1000000.0,0.0
81,2023-06-17,2024-06-16,1000000.0,0.0
82,2021-01-28,2022-01-28,1000007.0415000916,-2.2302142359829378
83,2022-06-13,2023-06-13,1000000.0,0.0
84,2021-06-06,2022-06-06,1000000.0,0.0
85,2020-01-02,2021-01-01,1014839.4441613613,-1.1535031416844816
86,2021-06-08,2022-06-08,1000000.0,0.0
87,2020-12-12,2021-12-12,1000007.3405008316,-2.2302135840238773
88,2021-06-26,2022-06-26,1000000.0,0.0
89,2020-07-10,2021-07-10,1022820.4245856979,-2.230209114638256
90,2022-10-19,2023-10-19,1000000.0,0.0
91,2020-11-03,2021-11-03,1000007.0897502899,-2.2302141307752996
92,2023-10-15,2024-10-14,1000000.0,0.0
93,2022-03-27,2023-03-27,1000000.0,0.0
94,2020-07-22,2021-07-22,1022820.4245856979,-2.230209114638256
95,2023-01-12,2024-01-12,1000000.0,0.0
96,2020-01-22,2021-01-21,1014221.1009599357,-1.1535031416844816
97,2022-01-20,2023-01-20,1000000.0,0.0
98,2023-05-02,2024-05-01,1000000.0,0.0
99,2022-10-17,2023-10-17,1000000.0,0.0
100,2021-04-06,2022-04-06,1000005.8030004501,-2.230216936485541
