Symbol,Name,sector,Industry
196170,알테오젠,Healthcare,Biotechnology
247540,에코프로비엠,Industrials,Electrical Equipment & Parts
086520,에코프로,Unknown,Unknown
028300,HLB,Healthcare,Biotechnology
141080,리가켐바이오,Healthcare,Biotechnology
145020,휴젤,Healthcare,Biotechnology
214150,클래시스,Healthcare,Medical Devices
277810,레인보우로보틱스,Industrials,Specialty Industrial Machinery
348370,엔켐,Industrials,Electrical Equipment & Parts
035900,JYP Ent.,Communication Services,Entertainment
263750,펄어비스,Communication Services,Electronic Gaming & Multimedia
000250,삼천당제약,Unknown,Unknown
058470,리노공업,Technology,Semiconductors
068760,셀트리온제약,Healthcare,Drug Manufacturers - Specialty & Generic
403870,HPSP,Unknown,Unknown
214450,파마리서치,Healthcare,Biotechnology
328130,루닛,Healthcare,Health Information Services
041510,에스엠,Communication Services,Entertainment
237690,에스티팜,Unknown,Unknown
087010,펩트론,Unknown,Unknown
257720,실리콘투,Consumer Defensive,Household & Personal Products
112040,위메이드,Unknown,Unknown
178320,서진시스템,Technology,Communication Equipment
039030,이오테크닉스,Technology,Semiconductor Equipment & Materials
140860,파크시스템스,Technology,Scientific & Technical Instruments
357780,솔브레인,Basic Materials,Chemicals
253450,스튜디오드래곤,Communication Services,Entertainment
310210,보로노이,Healthcare,Biotechnology
293490,카카오게임즈,Communication Services,Electronic Gaming & Multimedia
007390,네이처셀,Unknown,Unknown
035760,CJ ENM,Communication Services,Entertainment
036930,주성엔지니어링,Unknown,Unknown
089030,테크윙,Technology,Semiconductor Equipment & Materials
078600,대주전자재료,Unknown,Unknown
298380,에이비엘바이오,Healthcare,Biotechnology
214370,케어젠,Unknown,Unknown
096530,씨젠,Healthcare,Biotechnology
067160,SOOP,Unknown,Unknown
067630,HLB생명과학,Unknown,Unknown
204270,제이앤티씨,Technology,Electronic Components
240810,원익IPS,Technology,Semiconductor Equipment & Materials
005290,동진쎄미켐,Basic Materials,Chemicals
195940,HK이노엔,Healthcare,Drug Manufacturers - Specialty & Generic
095340,ISC,Unknown,Unknown
018290,브이티,Industrials,Business Equipment & Supplies
137400,피엔티,Industrials,Specialty Industrial Machinery
086900,메디톡스,Healthcare,Biotechnology
039200,오스코텍,Unknown,Unknown
140410,메지온,Unknown,Unknown
376300,디어유,Unknown,Unknown
122870,와이지엔터테인먼트,Communication Services,Entertainment
115450,HLB테라퓨틱스,Healthcare,Biotechnology
225570,넥슨게임즈,Communication Services,Electronic Gaming & Multimedia
058970,엠로,Technology,Software - Application
121600,나노신소재,Basic Materials,Specialty Chemicals
085660,차바이오텍,Healthcare,Biotechnology
064760,티씨케이,Unknown,Unknown
036830,솔브레인홀딩스,Basic Materials,Chemicals
417200,LS머트리얼즈,Industrials,Electrical Equipment & Parts
281740,레이크머티리얼즈,Basic Materials,Specialty Chemicals
084370,유진테크,Unknown,Unknown
056190,에스에프에이,Industrials,Specialty Industrial Machinery
086450,동국제약,Unknown,Unknown
041190,우리기술투자,Financial Services,Asset Management
033100,제룡전기,Industrials,Specialty Industrial Machinery
053800,안랩,Technology,Software - Infrastructure
031980,피에스케이홀딩스,Unknown,Unknown
003380,하림지주,Consumer Defensive,Packaged Foods
067310,하나마이크론,Unknown,Unknown
213420,덕산네오룩스,Technology,Electronic Components
082270,젬백스,Unknown,Unknown
030520,한글과컴퓨터,Unknown,Unknown
383310,에코프로에이치엔,Industrials,Pollution & Treatment Controls
222080,씨아이에스,Industrials,Specialty Industrial Machinery
078340,컴투스,Communication Services,Electronic Gaming & Multimedia
009520,포스코엠텍,Unknown,Unknown
048410,현대바이오,Healthcare,Biotechnology
348210,넥스틴,Technology,Semiconductor Equipment & Materials
098460,고영,Technology,Semiconductor Equipment & Materials
365340,성일하이텍,Industrials,Electrical Equipment & Parts
036540,SFA반도체,Technology,Semiconductors
025320,시노펙스,Technology,Electronic Components
418550,제이오,Unknown,Unknown
069080,웹젠,Unknown,Unknown
064550,바이오니아,Unknown,Unknown
025980,아난티,Unknown,Unknown
074600,원익QnC,Technology,Semiconductor Equipment & Materials
058610,에스피지,Unknown,Unknown
101490,에스앤에스텍,Unknown,Unknown
358570,지아이이노베이션,Unknown,Unknown
319660,피에스케이,Technology,Semiconductor Equipment & Materials
025900,동화기업,Basic Materials,Lumber & Wood Production
215200,메가스터디교육,Consumer Defensive,Education & Training Services
166090,하나머티리얼즈,Technology,Semiconductor Equipment & Materials
101360,에코앤드림,Consumer Cyclical,Auto Parts
099190,아이센스,Unknown,Unknown
015750,성우하이텍,Consumer Cyclical,Auto Parts
091120,이엠텍,Unknown,Unknown
095660,네오위즈,Unknown,Unknown
393890,더블유씨피,Industrials,Electrical Equipment & Parts
215000,골프존,Communication Services,Electronic Gaming & Multimedia
215600,신라젠,Healthcare,Biotechnology
272290,이녹스첨단소재,Technology,Semiconductor Equipment & Materials
131970,두산테스나,Unknown,Unknown
032190,다우데이타,Technology,Information Technology Services
046890,서울반도체,Technology,Semiconductors
068240,다원시스,Industrials,Electrical Equipment & Parts
352480,씨앤씨인터내셔널,Consumer Defensive,Household & Personal Products
189300,인텔리안테크,Unknown,Unknown
278280,천보,Basic Materials,Chemicals
091700,파트론,Unknown,Unknown
006730,서부T&D,Consumer Cyclical,Lodging
179900,유티아이,Technology,Electronic Components
144510,지씨셀,Healthcare,Diagnostics & Research
131290,티에스이,Unknown,Unknown
108860,셀바스AI,Technology,Software - Application
183300,코미코,Technology,Semiconductor Equipment & Materials
336570,원텍,Healthcare,Medical Devices
290650,엘앤씨바이오,Healthcare,Medical Devices
200130,콜마비앤에이치,Consumer Defensive,Household & Personal Products
036810,에프에스티,Technology,Semiconductors
399720,가온칩스,Technology,Semiconductors
222800,심텍,Technology,Semiconductors
194480,데브시스터즈,Communication Services,Electronic Gaming & Multimedia
084850,아이티엠반도체,Technology,Semiconductors
032500,케이엠더블유,Technology,Communication Equipment
372170,윤성에프앤씨,Industrials,Specialty Industrial Machinery
218410,RFHIC,Unknown,Unknown
049070,인탑스,Technology,Communication Equipment
060250,NHN KCP,Technology,Software - Infrastructure
420770,기가비스,Unknown,Unknown
080220,제주반도체,Unknown,Unknown
060280,큐렉소,Unknown,Unknown
025770,한국정보통신,Industrials,Business Equipment & Supplies
043150,바텍,Unknown,Unknown
323990,박셀바이오,Healthcare,Biotechnology
095610,테스,Unknown,Unknown
267980,매일유업,Consumer Defensive,Packaged Foods
094360,칩스앤미디어,Unknown,Unknown
118990,모트렉스,Consumer Cyclical,Auto Parts
114190,강원에너지,Industrials,Specialty Industrial Machinery
035600,KG이니시스,Technology,Software - Infrastructure
095500,미래나노텍,Unknown,Unknown
053610,프로텍,Technology,Semiconductor Equipment & Materials
394280,오픈엣지테크놀로지,Unknown,Unknown
360070,탑머티리얼,Unknown,Unknown
060720,KH바텍,Unknown,Unknown
425040,티이엠씨,Basic Materials,Specialty Chemicals
299030,하나기술,Industrials,Specialty Industrial Machinery
033640,네패스,Technology,Semiconductor Equipment & Materials
